1 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CIVIL   ,DIPPPT , 465 ,3774 , UR/X/M  ,N,3,2025
2 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT ,1619 ,2707 , OBC/X/F ,N,3,2025
3 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT ,1755 ,3023 , OBC/X/M ,N,4,2025
4 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT ,1710 ,3871 , SC/X/M  ,N,4,2025
5 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT , 4600,4600 , SC/X/F  ,N,1,2025
6 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT , 940 , 940 , OBC/X/M ,N,1,2025
7 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT , 617 ,1210 , UR/X/F  ,N,3,2025
8 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT , 646 ,1296 , OBC/X/F ,N,3,2025
9 ,Acropolis Institute of Technology & Research Indore (2005), Private ,CSE     ,DIPPPT ,1020 ,1592 , UR/X/M  ,N,5,2025
10,Acropolis Institute of Technology & Research Indore (2005), Private ,CSECS   ,DIPPPT ,2801 ,4183 , UR/X/M    ,N,4,2025
11,Acropolis Institute of Technology & Research Indore (2005), Private ,CSECS   ,BSC    ,4433 ,4433 , UR/X/M    ,N,1,2025
12,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEDS   ,DIPPPT , 656 , 656 , UR/X/M    ,N,1,2025
13,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEDS   ,DIPPPT ,2474,2474  , UR/X/F    ,N,1,2025
14,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEDS   ,DIPPPT ,2535,2575  , OBC/X/M   ,N,2,2025
15,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIL   ,DIPPPT ,2601,2601  , UR/X/M    ,N,1,2025
16,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,3194,3194  , OBC/X/F   ,N,1,2025
17,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,2673 ,4321 , OBC/X/M   ,N,5,2025
18,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,1073 ,1073 , UR/X/F    ,N,1,2025
19,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,1327 ,1327 , OBC/X/F   ,N,1,2025
20,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,1445 ,1445 , OBC/X/M   ,N,1,2025
21,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,2101 ,2101 , SC/X/M    ,N,1,2025
22,Acropolis Institute of Technology & Research Indore (2005), Private ,CSEIML  ,DIPPPT ,1701 ,2435 , UR/X/M    ,N,2,2025
23,Acropolis Institute of Technology & Research Indore (2005), Private ,IT    ,DIPPPT ,2325,2325  , UR/X/F    ,N,1,2025
24,Acropolis Institute of Technology & Research Indore (2005), Private ,IT    ,DIPPPT ,2472,4771  , UR/X/M    ,N,4,2025
25,Acropolis Institute of Technology & Research Indore (2005), Private ,IT      ,DIPPPT ,2522,3729  , OBC/X/F   ,N,2,2025
26,Acropolis Institute of Technology & Research Indore (2005), Private ,IT      ,DIPPPT ,3092 ,3809 , OBC/X/M   ,N,4,2025
27,Acropolis Institute of Technology & Research Indore (2005), Private ,IT      ,DIPPPT ,4384 ,4384 , UR/X/M    ,N,1,2025
28,Acropolis Institute of Technology & Research Indore (2005), Private ,MECH    ,DIPPPT ,1349,4303  , UR/X/M    ,N,2,2025
29,Acropolis Institute of Technology & Research Indore (2005), Private ,MECH    ,DIPPPT ,2537,4535  , OBC/X/M   ,N,3,2025
30 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,CIVIL        ,DIPPPT ,2427,2427, OBC/X/F ,N,1,2025
31 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,CIVIL        ,DIPPPT ,3233,3233, OBC/X/M ,N,1,2025
32 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,CSE          ,BSC    ,4524,4524, OBC/X/M ,N,1,2025
33 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,CSEAI        ,DIPPPT , 319, 319, OBC/X/M ,N,1,2025
34 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,CSEAI        ,DIPPPT ,1106,1106, SC/X/M  ,N,1,2025
35 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,ELECT ELEX   ,DIPPPT ,1063,1063, OBC/X/M ,N,1,2025
36 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,ELECT ELEX   ,DIPPPT ,1775,1775, SC/X/M  ,N,1,2025
37 ,ADINA INSTITUTE OF SCIENCE & TECHNOLOGY SAGAR (2009), Private ,ELECT ELEX   ,DIPPPT ,4343,4343, UR/X/M  ,N,1,2025
38 ,Aditya College of Technology & Science Satna (2007), Private ,AIML      ,DIPPPT ,2109,2109 , OBC/X/M ,N,1,2025
39 ,Aditya College of Technology & Science Satna (2007), Private ,AIML      ,DIPPPT ,4130,4130 , UR/X/M  ,N,1,2025
40 ,Aditya College of Technology & Science Satna (2007), Private ,CIVIL     ,DIPPPT ,2664,2664 , UR/X/M  ,N,1,2025
41 ,Aditya College of Technology & Science Satna (2007), Private ,CSE       ,DIPPPT , 508, 508 , UR/X/F  ,N,1,2025
42 ,Aditya College of Technology & Science Satna (2007), Private ,ELECT ELEX,DIPPPT ,1934,1934 , UR/X/M  ,N,1,2025
43 ,Aditya College of Technology & Science Satna (2007), Private ,FTS       ,BSC    ,2279,4574 , UR/X/M  ,N,3,2025
44 ,Aditya College of Technology & Science Satna (2007), Private ,FTS       ,BSC    ,4807,4807 , OBC/X/M ,N,1,2025
45 ,Aditya College of Technology & Science Satna (2007), Private ,FTS       ,DIPPPT ,4831,4831 , OBC/X/M ,N,1,2025
46 ,Aditya College of Technology & Science Satna (2007), Private ,MECH      ,DIPPPT ,3365,3365 , OBC/X/M ,N,1,2025
47 ,Aditya College of Technology & Science Satna (2007), Private ,MECH      ,DIPPPT ,1082,3470 , SC/X/M  ,N,2,2025
48 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,DIPPPT ,2849,2849 , UR/X/F  ,N,1,2025
49 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,DIPPPT , 236,3260 , SC/X/M  ,N,3,2025
50 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,BSC    ,4036,4036 , OBC/X/M ,N,1,2025
51 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,BSC    ,4182,4182 , UR/X/M  ,N,1,2025
52 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,DIPPPT ,1100,4527 , ST/X/M  ,N,4,2025
53 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,DIPPPT , 625,4764 , OBC/X/M ,N,12,2025
54 ,Aditya College of Technology & Science Satna (2007), Private ,MINING    ,DIPPPT , 576,4832 , UR/X/M  ,N,17,2025
55 ,All Saints College of Technology Bhopal (2002), Private ,CIVIL      ,DIPPPT , 5     ,4708 , UR/X/M ,N, 81,2025
56 ,All Saints College of Technology Bhopal (2002), Private ,CIVIL      ,BSC    ,4804   ,4824 , UR/X/M ,N, 2,2025
57 ,All Saints College of Technology Bhopal (2002), Private ,CSE        ,DIPPPT , 39    ,1760 , UR/X/F ,N, 5,2025
58 ,All Saints College of Technology Bhopal (2002), Private ,CSE        ,DIPPPT , 43    ,4585 , UR/X/M ,N, 11,2025
59 ,All Saints College of Technology Bhopal (2002), Private ,EC         ,DIPPPT , 571   ,3879 , UR/X/M ,N, 5,2025
60 ,All Saints College of Technology Bhopal (2002), Private ,ELECT ELEX ,DIPPPT ,4544   ,4544 , UR/X/F ,N, 1,2025
61 ,All Saints College of Technology Bhopal (2002), Private ,ELECT ELEX ,DIPPPT , 202   ,4639 , UR/X/M ,N, 21,2025
62 ,All Saints College of Technology Bhopal (2002), Private ,MECH       ,DIPPPT , 954   , 954 , UR/X/F ,N, 1,2025
63 ,All Saints College of Technology Bhopal (2002), Private ,MECH       ,BSC    ,4479   ,4479 , UR/X/M ,N, 1,2025
64 ,All Saints College of Technology Bhopal (2002), Private ,MECH       ,DIPPPT , 80    ,4734 , UR/X/M ,N, 24,2025
65 ,Alpine Institute of Technology Ujjain (2007), Private ,CSE  ,DIPPPT ,4043,4043 , SC/X/M  ,N,1,2025
66 ,Alpine Institute of Technology Ujjain (2007), Private ,EE   ,DIPPPT ,3177,3177 , SC/X/M  ,N,1,2025
67 ,Alpine Institute of Technology Ujjain (2007), Private ,EE   ,DIPPPT ,2107,3979 , OBC/X/M ,N,6,2025
68 ,Alpine Institute of Technology Ujjain (2007), Private ,EE   ,DIPPPT , 161,4750 , UR/X/M  ,N,3,2025
69 ,Alpine Institute of Technology Ujjain (2007), Private ,MECH ,DIPPPT ,2559,2910 , OBC/X/M ,N,2,2025
70 ,Alpine Institute of Technology Ujjain (2007), Private ,MECH ,DIPPPT ,3478,3478 , SC/X/M  ,N,1,2025
71 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,CIVIL ,DIPPPT ,2695,2695, OBC/X/M ,N,1,2025
72 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,CIVIL ,DIPPPT ,2743,2743, SC/X/M  ,N,1,2025
73 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,CSE   ,DIPPPT ,2439,2439, OBC/X/M ,N,1,2025
74 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,CSE   ,DIPPPT ,3015,4652, OBC/X/M ,N,2,2025
75 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,MECH  ,DIPPPT ,1910,1910, OBC/X/M ,N,1,2025
76 ,Annie Institure of Technology and Research Center Chhindwara (2013) , Private ,MECH  ,DIPPPT ,4159,4159, SC/X/M  ,N,1,2025
77 ,Astral Institute of Technology & Research Indore (2006), Private ,CIVIL ,DIPPPT ,4645,4645, SC/X/M  ,N,1,2025
78 ,Astral Institute of Technology & Research Indore (2006), Private ,CSE   ,DIPPPT ,4245,4245, OBC/X/M ,N,1,2025
79 ,Astral Institute of Technology & Research Indore (2006), Private ,CSE   ,BSC    ,4738,4738, ST/X/M  ,N,1,2025
80 ,Astral Institute of Technology & Research Indore (2006), Private ,EC    ,DIPPPT ,1774,1774, OBC/X/M ,N,1,2025
81 ,Astral Institute of Technology & Research Indore (2006), Private ,MECH  ,DIPPPT ,1840,4143, OBC/X/M ,N,2,2025
82 ,Babulal Tarabai Institute of Research & Technology Sagar (2008), Private ,ELECT ELEX ,DIPPPT ,1016,3732, OBC/X/M,N,2,2025
83 ,Babulal Tarabai Institute of Research & Technology Sagar (2008), Private ,ELECT ELEX ,DIPPPT ,4505,4505, UR/X/M ,N,1,2025
84 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CIVIL  ,DIPPPT ,3881,3881, OBC/X/M ,N,1 ,2025
85 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CIVIL  ,DIPPPT ,1227,2476, ST/X/F  ,N,2,2025
86 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CMPS   ,DIPPPT ,3000,3000, UR/X/M  ,N,1,2025
87 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSE    ,DIPPPT ,1465,1465, OBC/X/F ,N,1,2025
88 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSE    ,DIPPPT ,2938,2938, UR/X/M  ,N,1,2025
89 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSE    ,DIPPPT ,1620,3571, UR/X/F  ,N,2,2025
90 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSE    ,DIPPPT ,3779,3779, ST/X/M  ,N,1,2025
91 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSE    ,DIPPPT ,2402,4507, OBC/X/M ,N,5,2025
92 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSEIML ,BSC    ,4615,4615, SC/X/F  ,N,1,2025
93 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSEITCS,DIPPPT ,2009,2009, UR/X/M  ,N,1,2025
94 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,CSEITCS,DIPPPT ,3423,4253, OBC/X/M ,N,2,2025
95 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,EC     ,DIPPPT ,2500,4447, UR/X/M  ,N,2,2025
96 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,EC     ,DIPPPT ,4727,4727, OBC/X/M ,N,1,2025
97 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,MECH   ,DIPPPT ,1041,1041, OBC/X/M ,N,1,2025
98  ,Bagulamukhi College of Technology Bhopal (2009), Private ,CIVIL    ,BSC    ,4688 ,4688, UR/X/M ,N,1,2025
99  ,Bagulamukhi College of Technology Bhopal (2009), Private ,CIVIL    ,DIPPPT , 343 ,4703, UR/X/M ,N,13,2025
100 ,Bagulamukhi College of Technology Bhopal (2009), Private ,CSE      ,DIPPPT , 51  , 51 , UR/X/M ,N,1,2025
101 ,Bagulamukhi College of Technology Bhopal (2009), Private ,EE       ,DIPPPT , 116 ,2546, UR/X/F ,N,2,2025
102 ,Bagulamukhi College of Technology Bhopal (2009), Private ,EE       ,DIPPPT , 411 ,4434, UR/X/M ,N,15,2025
103 ,Bagulamukhi College of Technology Bhopal (2009), Private ,MECH     ,DIPPPT , 775 ,3712, UR/X/M ,N,3,2025
104 ,Bagulamukhi College of Technology Bhopal (2009), Private ,MECH     ,BSC    , 4795,4795, UR/X/M ,N,1,2025
105 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT , 994, 994, UR/X/F  ,N,1,2025
106 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT , 44 ,2604, OBC/X/F ,N,2,2025
107 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT ,2058,4100, UR/X/M  ,N,2,2025
108 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT ,1759,4504, OBC/X/M ,N,5,2025
109 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT , 107, 107, SC/X/F  ,N,1,2025
110 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,1379,1379, OBC/X/F ,N,1,2025
111 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,BSC    ,1808,1808, UR/X/M  ,N,1,2025
112 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,1347,4045, UR/X/M  ,N,2,2025
113 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT , 761,4080, UR/X/F  ,N,2,2025
114 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,2756,4393, OBC/X/M ,N,5,2025
115 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,4621,4621, SC/X/M  ,N,1,2025
116 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,BSC    ,3611,4685, OBC/X/M ,N,3,2025
117 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSEIML      ,DIPPPT ,3622,4133, UR/X/F  ,N,2,2025
118 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSEIML      ,DIPPPT ,4477,4477, OBC/X/M ,N,1,2025
119 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT ,3948,3948, OBC/X/M ,N,1,2025
120 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT , 425, 425, UR/X/M  ,N,1,2025
121 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT ,1636,1636, SC/X/M  ,N,1,2025
122 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,2108,3951, OBC/X/M ,N,7,2025
123 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,4098,4098, ST/X/M  ,N,1,2025
124 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,4307,4307, SC/X/M  ,N,1,2025
125 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,3315,4405, UR/X/M  ,N,3,2025
126 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,MECH        ,DIPPPT ,3138,3375, SC/X/M  ,N,2,2025
127 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,MECH        ,DIPPPT ,4065,4065, UR/X/M  ,N,1,2025
128 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CIVIL        ,DIPPPT ,4014 ,4014 , ST/X/M  ,N,1,2025
129 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CIVIL        ,DIPPPT ,3878 ,4264 , UR/X/M  ,N,2,2025
130 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,2643 ,2643 , OBC/X/F ,N,1,2025
131 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,3398 ,3398 , ST/X/F  ,N,1,2025
132 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,1740 ,3520 , SC/X/F  ,N,2,2025
133 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT , 903 ,4431 , OBC/X/M ,N,6,2025
134 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT , 427 ,4483 , UR/X/M  ,N,4,2025
135 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,EC           ,DIPPPT , 3704,4755 , OBC/X/M ,N,2,2025
